"/循环时间","_id","Al","B","C","Cb","Co","Cr","Hf","Mo","Ni","Ti","Zr","低周疲劳极限/切口因素","低周疲劳极限/温度","冷却/空冷","力学性能/低周疲劳极限","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效1/时效时间","时效1/时效温度","材料牌号","热处理工艺/加热时间","热处理工艺/加热温度","热等静压/压力","热等静压/时间","热等静压/温度"
"21077周数","ObjectId(""5b4d2926e6b1a819a85d8dbb"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","634.8257Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"20493周数","ObjectId(""5b4d292ae6b1a819a85d8dbd"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","638.9638Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"19011周数","ObjectId(""5b4d292fe6b1a819a85d8dbf"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","655.5330Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"27015周数","ObjectId(""5b4d2939e6b1a819a85d8dc1"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","3 ","  ","488.0282Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"39510周数","ObjectId(""5b4d293ee6b1a819a85d8dc3"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","3 ","  ","414.6788Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"30285周数","ObjectId(""5b4d2943e6b1a819a85d8dc5"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","3 ","  ","462.8944Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"32368周数","ObjectId(""5b4d2948e6b1a819a85d8dc7"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","3 ","  ","450.3190Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"41038周数","ObjectId(""5b4d294ce6b1a819a85d8dc9"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","3 ","  ","408.3868Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"16058周数","ObjectId(""5b4d2951e6b1a819a85d8dcb"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","688.6630Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"34925周数","ObjectId(""5b4d2956e6b1a819a85d8dcd"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","3 ","  ","435.6491Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"31158周数","ObjectId(""5b4d295be6b1a819a85d8dcf"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","3 ","  ","458.6969Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"33625周数","ObjectId(""5b4d2960e6b1a819a85d8dd1"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","3 ","  ","441.9411Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"29710周数","ObjectId(""5b4d2965e6b1a819a85d8dd3"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","3 ","  ","469.1694Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"27802周数","ObjectId(""5b4d296ae6b1a819a85d8dd5"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","3 ","  ","479.6588Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"16362周数","ObjectId(""5b4d296fe6b1a819a85d8dd7"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","427℃","3 ","  ","680.3699Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
"38034周数","ObjectId(""5b4d2976e6b1a819a85d8dd9"")","5.0","0.02","0.02","1.4","18.5","12.5","0.4","3.2","bal","4.4","0.06","538℃","3 ","  ","423.0567Mpa","","Eng R D, Evans D J. High Strength HIP Consolidated MERL 76 Disks[C]// Superalloys. 1980:491-500.","10.11961/mater0203.MGI.20171221.ds.0044","尹海清","摘录","张凯琦","2018-01-08","16h","760℃","MERL76","2h","1168℃","103Mpa","3h","704℃"
