"_id","Al","B","C","Co","Cr","Hf","Mo","Ni","Re","Ta","Ti","W","Zr","力学性能/断裂应力","备注","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","材料牌号","热处理1/时间","热处理1/温度","热处理2/时间","热处理2/温度","热处理3/时间","热处理3/温度","蠕变测试/时间","蠕变测试/温度"
"ObjectId(""5b4caa25e6b1a81674aabd9b"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","40.529Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1752.45oF"
"ObjectId(""5b4caa2ae6b1a81674aabd9d"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","22.2252Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1883.02oF"
"ObjectId(""5b4caa2ee6b1a81674aabd9f"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","31.1376Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1809.91oF"
"ObjectId(""5b4caa38e6b1a81674aabda1"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","86.4346Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1547.57oF"
"ObjectId(""5b4caa3de6b1a81674aabda3"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","107.66Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1452.84oF"
"ObjectId(""5b4caa42e6b1a81674aabda5"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","76.0798Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1580.45oF"
"ObjectId(""5b4caa47e6b1a81674aabda7"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","93.8406Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1512.3oF"
"ObjectId(""5b4caa4ce6b1a81674aabda9"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","99.2684Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1490.29oF"
"ObjectId(""5b4caa51e6b1a81674aabdab"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","96.7985Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1503.54oF"
"ObjectId(""5b4caa55e6b1a81674aabdad"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","102.722Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1477.1oF"
"ObjectId(""5b4caa5be6b1a81674aabdaf"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","79.535Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1565.03oF"
"ObjectId(""5b4caa60e6b1a81674aabdb1"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","91.8643Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1523.34oF"
"ObjectId(""5b4caa65e6b1a81674aabdb3"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","82.493Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1556.27oF"
"ObjectId(""5b4caa6ae6b1a81674aabdb5"")","6","0.015","0.l","10","6.5wt.%","1.5","1.7","Balance","3","4","0","6.5","0.l","64.2332Ksi","","Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09","PWA1426","4h","2240oF","4h","1975oF","12h","1600oF","300h","1633.32oF"
