01_AAV,02_VPA,03_LLSD,04_AASD,05_LASD,06_LNC,07_SDLC,08_SNC,09_LLB,10_LBI,11_SDLI,12_SBI,13_ENS,14_AFC,15_PF,16_SPF,17_SLPW,18_SLPE,19_RBI,20_RNC,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_length_a,_cell_length_b,_cell_length_c,Vcell,space_group_num,RadofGyration,arrange_density,avg_radius_Li_nonLi,avg_radius_frame_anions_all_atoms,EO,Li_C,avg_anion_charge,avg_cation_charge,avg_nonLi_charge,avg_frame_anion_charge,avg_charge,avg_anion_electronegativity,avg_cation_electronegativity,avg_fram_anion_electronegativity,avg_electronegativity,avg_anion_radius2,avg_cantion_radius2,avg_fram_anion_radius2,avg_nonLi_radius2,avg_radius2,bvse_3
11.77,21.71,1.46,3.12,1.87,23.16,4.35,20.64,5.95,1.68,1.05,1.02,3.02,11,0.54,0.37,0.56,1.62,1.66,1.12,90,90,90,12.77,12.77,12.77,2083.91,230,12.49,2.71,0.31,0.14,0.41,0.02,2,3,3.33,-1,2.05,3.44,1.38,3.44,2.42,1.25,0.83,1.25,1.19,1.05,0.918
11.91,22.7,1.33,3.15,1.78,23.51,4.28,21.88,5.54,1.55,1.13,1.09,2.85,11,0.71,0.56,1.55,2.08,1.42,1.07,90,90,90,12.96,12.96,12.96,2178.8,230,12.39,3.31,0.31,0.15,0.42,0.02,2,3,3.33,-1,2.03,3.44,1.19,3.44,2.32,1.25,0.9,1.25,1.22,1.08,1.9824
12.76,22.83,1.52,3.17,1.92,21.73,3.62,19.3,5.39,1.61,1.13,1.03,2.92,10.88,0.64,0.49,0.82,1.18,1.56,1.13,90,90,90,12.95,12.95,12.95,2169.23,230,12.56,2.72,0.33,0.13,0.44,0.02,2,3,3.33,-1,1.94,3.44,1.19,3.44,2.38,1.24,0.93,1.24,1.24,1.11,0.8301
12.49,22.89,1.68,3.18,1.83,21.86,3.25,19.24,5.33,1.58,1.11,1,2.89,11,0.64,0.48,0.67,1.65,1.58,1.14,90,90,90,13,13,13,2197.51,230,12.56,3.24,0.31,0.14,0.38,0.02,2,3,3.33,-1,2.1,3.44,1.19,3.44,2.38,1.25,0.86,1.25,1.2,1.07,0.6934
12.4,22.87,2.14,3.03,1.93,22.66,2.35,20.39,5.33,1.56,1.11,0.97,2.89,9,0.66,0.48,0.45,1.35,1.6,1.11,90,90,90,13,13,13,2195.61,230,12.54,3.25,0.3,0.13,0.28,0.02,2,3,3.33,-1,2.1,3.44,1.19,3.44,2.37,1.25,0.87,1.25,1.2,1.08,0.6641
11.81,21.77,1.77,2.99,1.88,23.41,4.59,20.8,4.98,1.67,1.04,1.01,2.96,9,0.61,0.44,0.89,1.73,1.66,1.13,90,90,90,12.79,12.79,12.79,2090.25,230,12.17,2.96,0.31,0.14,0.41,0.02,2,3,3.33,-1,2.1,3.44,1.38,3.44,2.42,1.25,0.85,1.25,1.19,1.07,0.8203
11.64,21.46,1.86,3.11,1.87,23.6,4.72,21.52,5.24,1.58,1.1,1.09,2.89,11,0.69,0.51,0.65,1.71,1.45,1.1,90,90,90,12.72,12.72,12.72,2060.5,230,12.15,3.46,0.3,0.16,0.33,0.02,2,3,3.33,-1,2.1,3.44,1.19,3.44,2.37,1.25,0.86,1.25,1.19,1.07,1.2012
11.6,21.38,2.08,3.11,1.94,23.66,3.72,22.25,5.35,1.61,1.1,1.07,2.89,11,0.69,0.51,0.78,1.71,1.51,1.06,90,90,90,12.71,12.71,12.71,2052.63,230,12.23,3.47,0.31,0.15,0.29,0.02,2,3,3.33,-1,2.1,3.44,1.19,3.44,2.37,1.25,0.87,1.25,1.2,1.08,0.9375
12.15,22.15,1.92,3.15,1.79,22.62,4.29,19.94,5.08,1.6,1.12,1.03,2.89,11,0.7,0.53,0.65,1.47,1.55,1.13,90,90,90,12.86,12.86,12.86,2126.76,230,12.44,2.79,0.32,0.13,0.44,0.02,2,3,3.33,-1,2.01,3.44,1.23,3.44,2.37,1.25,0.91,1.25,1.22,1.09,0.8105
12.1,22.55,1.7,3.15,1.75,24.03,4.9,21.63,5.17,1.54,1.13,1.07,2.84,11,0.73,0.57,0.73,2.45,1.43,1.11,90,90,90,12.94,12.94,12.94,2165.21,230,12.36,3.4,0.31,0.15,0.41,0.02,2,3,3.33,-1,2.07,3.44,1.19,3.44,2.35,1.25,0.91,1.25,1.22,1.09,1.5234
