Alloy,Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,solution_treatment_time,1st_step_aging_treatment_time,2nd_step_aging_treatment_time,solution_treatment_temperature,1st_step_aging_treatment_temperature,2nd_step_aging_treatment_temperature,temperature,applied_Stress,creep_life
89,59.885,0,10,5,2,12,0,9,0,0.1,0.015,0,0,2,4,4,32,1204,1080,870,871,517.5,105
90,62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,4,4,32,1285,1080,870,871,517.5,40
91,59.885,0,10,5,2,12,0,9,0,0.1,0.015,0,0,2,4,4,32,1204,1080,870,982,248.4,91
92,62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,4,4,32,1285,1080,870,982,248.4,33
93,59.885,0,10,5,2,12,0,9,0,0.1,0.015,0,0,2,4,4,32,1204,1080,870,1093,138,30
94,62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,4,4,32,1285,1080,870,1093,138,9
95,59.885,0,10,5,2,12,0,9,0,0.1,0.015,0,0,2,4,4,32,1204,1080,870,1093,124.2,52
96,62.5,0,5,5,1.5,4,0,10,12,0,0,0,0,0,4,4,32,1285,1080,870,1093,124.2,14
97,70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,3,4,20,1315,1065,871,871,414,90.8
98,70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,3,4,20,1315,1065,871,871,414,86.4
99,70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,3,4,20,1315,1065,871,982,207,81.5
100,70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,3,4,20,1315,1065,871,982,207,76.8
101,70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,3,4,20,1315,1065,871,1037,124.2,344.6
102,70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,3,4,20,1315,1065,871,1037,103.5,816.5
103,62.69,0,7.5,4.2,3.5,6.1,1.5,9.6,4.7,0.06,0,0,0,0.15,2,4,16,1265,1079,899,760,621,4
104,62.69,0,7.5,4.2,3.5,6.1,1.5,9.6,4.7,0.06,0,0,0,0.15,2,4,16,1265,1079,899,871,379.5,1.9
105,62.69,0,7.5,4.2,3.5,6.1,1.5,9.6,4.7,0.06,0,0,0,0.15,2,4,16,1265,1079,899,982,179.4,2.3
106,62.69,0,7.5,4.2,3.5,6.1,1.5,9.6,4.7,0.06,0,0,0,0.15,2,4,16,1265,1079,899,1093,82.8,3.1
107,62.4882,0,7.6,4.2,3.5,6,1.5,9.8,4.7,0.06,0.0018,0,0,0.15,2,4,16,1265,1079,899,760,621,3.3
108,62.4882,0,7.6,4.2,3.5,6,1.5,9.8,4.7,0.06,0.0018,0,0,0.15,2,4,16,1265,1079,899,871,379.5,15.6
109,62.4882,0,7.6,4.2,3.5,6,1.5,9.8,4.7,0.06,0.0018,0,0,0.15,2,4,16,1265,1079,899,982,179.4,9.2
