Ni_wt,Re_wt,Co_wt,Al_wt,Ti_wt,W_wt,Mo_wt,Cr_wt,Ta_wt,C_wt,B_wt,Y_wt,Nb_wt,Hf_wt,creep_life
67.453,1.46,1,5.21,0,6.09,4.21,6.15,7.25,0.061,0.036,0,0.87,0.21,477.5
61,4.8,8,5.49,0,7.5,0,4.4,8.6,0,0,0.01,0.1,0.1,485
67.9,7.5,3.1,4.75,0,5,0,1.4,10,0,0,0.05,0.2,0.1,487
61,4.8,8,5.49,0,7.5,0,4.4,8.6,0,0,0.01,0.1,0.1,498
64.53,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0.2,502.3
66.565,1.45,1,5.14,0,6.57,2.51,6.74,8.79,0.069,0.026,0,0.86,0.28,507.3
65.964,2.83,0.89,5.1,0,8.89,0.82,5.75,8.61,0.061,0.025,0,0.84,0.22,508.9
65.624,1.43,1.01,5.07,0,8.07,0.83,7.27,9.5,0.061,0.025,0,0.85,0.26,509.9
65.605,1.43,1.02,5.07,0,8.53,0.83,7.21,9.1,0.061,0.024,0,0.85,0.27,525.5
64.53,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0.2,528.5
77.26,0,2.52,4.4,3.18,6.5,0.92,0.6,4.42,0,0,0,0,0.2,546.5
66.023,1.29,0.98,5.4,0,8.62,0.77,6.5,9.23,0.065,0.022,0,0.89,0.21,550.3
65.73,1.42,1,5.08,0,8.8,0.83,7.1,8.9,0.07,0.02,0,0.8,0.25,555.5
64.9,5.8,4.8,5.78,0,6.8,0,3.8,7.5,0,0,0.02,0.5,0.1,572
65.394,1.57,0.98,4.75,0,9.35,0.88,7.79,8.18,0.062,0.024,0,0.81,0.21,580.9
63.9,7.2,6.4,5.47,0,5.2,0,1.8,9.5,0,0,0.03,0.3,0.2,583
66.1,6,4.5,5.36,0,6,0,3,8.6,0,0,0.04,0.3,0.1,584
65.788,1.44,1.01,5.12,0,9,0.41,7.33,8.72,0.06,0.022,0,0.85,0.25,588.8
63.9,7.2,6.4,5.47,0,5.2,0,1.8,9.5,0,0,0.03,0.3,0.2,590
67,6.5,4,5.18,0,5.5,0,2.4,9,0,0,0.02,0.3,0.1,592
64.9,5.8,4.8,5.78,0,6.8,0,3.8,7.5,0,0,0.02,0.5,0.1,593
67.499,1.44,1.2,5.03,0.38,6.93,0.83,7.22,8.72,0.078,0.033,0,0.43,0.21,610.1
65.639,1.43,1,5.07,0,8.76,0.83,7.18,8.9,0.07,0.021,0,0.85,0.25,611.1
66.1,6,4.5,5.36,0,6,0,3,8.6,0,0,0.04,0.3,0.1,623
67,6.5,4,5.18,0,5.5,0,2.4,9,0,0,0.02,0.3,0.1,650
65.621,1.43,0.99,5.07,0,8.99,0.83,7.15,8.7,0.064,0.025,0,0.85,0.28,665.1
64.73,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0,697.6
64.73,0,5,4.15,3.68,6.5,0.92,10.6,4.42,0,0,0,0,0,697.6
61.6,3,8,6.2,0,5,2,7,7,0,0,0,0,0.2,805
70.4,0,0,5.6,0,7.5,0,10.3,6.2,0,0,0,0,0,816.5
61.6,3,8,6.2,0,5,2,7,7,0,0,0,0,0.2,837
63.1235,2.7,8,5.5,0.5,6.2,0.5,6.1,7.2,0.022,0.0045,0,0,0.15,847
60.0695,3,9.5,5.6,0.6,6.4,0.6,6.5,7.5,0.025,0.0055,0,0,0.2,880
