"_id","Al","B","C","Co","Cr","Hf","La","Mn","Mo","Ni","Re","Si","Ta","Ti","W","Y","Zr","冷轧/厚度","力学性能/蠕变寿命","均匀化退火/均匀化退火时间","均匀化退火/均匀化退火温度","备注","孔洞尺寸/孔洞尺寸","孔洞数量/孔洞数量","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/时效时间","时效/时效温度","最终退火/最终退火温度","服役因素/服役因素","材料牌号","热处理1/时间","热处理1/温度","热处理2/时间","热处理2/温度","热处理3/时间","热处理3/温度","热等静压/压强","热等静压/时间","热等静压/温度","热等静压/直径","空气冷却/空冷","蠕变实验/蠕变压力","蠕变实验/蠕变温度","蠕变断裂测试/拉力","蠕变断裂测试/温度","蠕变测试/γ相初期大小","蠕变测试/体积分数(γ΄)","蠕变测试/变形量","蠕变测试/应力","蠕变测试/测试应力","蠕变测试/测试温度","蠕变测试/温度","蠕变测试/降温速率(2250-2000oF)","轧制/轧制厚度","轧制/轧制温度","铸锭/铸锭直径","铸锭/铸锭重量","锻造/锻造厚度减少量","锻造（空冷）/锻造温度"
"ObjectId(""5b4cab41e6b1a81674aabe05"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"63.5974h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,,,,"36240.422Ksi",,,"1800oF","oF/Minute",,,,,,
"ObjectId(""5b4cab46e6b1a81674aabe07"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"35.3559h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,,,,"3650.339Ksi",,,"1800oF","oF/Minute",,,,,,
"ObjectId(""5b4cab4be6b1a81674aabe09"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"89.1426h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,,,,"36189.293Ksi",,,"1800oF","oF/Minute",,,,,,
"ObjectId(""5b4cab50e6b1a81674aabe0b"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"188.36h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,,,,"70Ksi",,,"1600oF","301.299oF/Minute",,,,,,
"ObjectId(""5b4cab55e6b1a81674aabe0d"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"60.0866h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,,,,"36240.375Ksi",,,"1800oF","oF/Minute",,,,,,
"ObjectId(""5b4cab5ae6b1a81674aabe0f"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"57.1666h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,,,,"36241.807Ksi",,,"1800oF","oF/Minute",,,,,,
"ObjectId(""5b4cab5fe6b1a81674aabe11"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"98.9936h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,,,,"110Ksi",,,"1400oF","300.507oF/Minute",,,,,,
"ObjectId(""5b4cab64e6b1a81674aabe13"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"143.915h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,,,,"70Ksi",,,"1600oF","49.1752oF/Minute",,,,,,
"ObjectId(""5b4cab68e6b1a81674aabe15"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"189.947h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,,,,"70Ksi",,,"1600oF","189.558oF/Minute",,,,,,
"ObjectId(""5b4cab6de6b1a81674aabe17"")","6","0.015","0.l","10","6.5wt.%","1.5",,,"1.7","Balance","3",,"4","0","6.5",,"0.l",,"24.8292h",,,"",,,"Cetel A D, Duhl D N. Second Generation Columnar Grain Nickel-Base Superalloy[J]. 1992.","10.11961/mater0203.MGI.20171221.ds.0035","张瑞杰","摘录","黄淋","2018-01-09",,,,,"PWA1426","4h","2240oF","4h","1975oF","12h","1600oF",,,,,,,,,,,,,"3651.6688Ksi",,,"1800oF","oF/Minute",,,,,,
