"/加工温度(4h于1080℃（1980℉）","/加工温度(4h于1110℃（2030℉）","/油淬)，试样盘尺寸","/油淬与时效)，试样盘尺寸","/空冷)，试样盘尺寸","_id","Al","B","C","Cb","Co","Cr","Fe","Hf","Mn","Mo","N","Nb","Nb+Ta","Ni","Re","Ru","Si","Ta","Ti","W","Zr","一次时效/温度","一次时效及空冷/时间","二次时效/温度","二次时效及空冷/时间","冷却/油冷温度","冷却/盐浴温度","冷却/空冷","力学性能/屈服强度","力学性能/极限拉伸强度","力学性能/纵向延伸率","单峰晶粒分布热处理/MA","双峰晶粒分布热处理/DB","固溶/固溶温度","固溶/试样厚度","固溶处理油淬/时间","固溶处理油淬/温度","固溶（油浴）/温度","固溶（盐浴）/温度","固溶（空冷）/温度","均匀化处理/时间","均匀化处理/温度","备注","应力破裂测试/温度","拉伸/温度","拉伸实验/温度","拉伸测试/ 温度","拉伸测试/气氛","拉伸测试/气氛压强","拉伸测试/温度","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","时效/时效时间","时效/时效温度","时效1/时效时间","时效1/时效温度","时效2/时效时间","时效2/时效温度","时效处理/时间","时效处理/温度","时效处理空冷/时间","时效处理空冷/温度","最小量热等静压制的/试验温度","材料牌号","标准热处理后油淬/时间","烧结/温度","热处理/固溶温度","热处理/温度","热处理与测试/保温时间(第一步)","热处理与测试/保温时间(第二步)","热处理与测试/冷却方式(第一步)","热处理与测试/冷却方式(第二步)","热处理与测试/测试温度","热处理与测试/温度(第一步)","热处理与测试/温度(第二步)","热处理后空冷/时间","热处理工艺/加热时间","热处理工艺/加热温度","热等静压/压力","热等静压/压强","热等静压/时间","热等静压/温度","热等静压/直径","热等静压制和挤压的/试验温度","热等静压制和锻造的/试验温度","热等静压制的/试验温度","热等静压制的（a）/试验温度","焊前热处理/时间","焊前热处理/温度","第1步热处理/时间","第1步热处理/温度","第2步热处理/冷却速率","第2步热处理/时间","第2步热处理/温度","第2步热处理/空冷","第3步热处理/时间","第3步热处理/温度","第4步热处理/时间","第4步热处理/温度","第一次热处理/温度","第一次热处理后炉冷/时间","第一次轧制/温度","第二次热处理/升温速率","第二次热处理/温度","第二次热处理后空冷/时间","第二次轧制/温度","等温锻造/变形量","等温锻造/温度","锻造/试样厚度","锻造/锻造厚度减少量","锻造和锻轧的/试验温度","锻造（油冷）/锻造温度","锻造（空冷）/锻造温度"
,,,,,"ObjectId(""5b4d233de6b1a819a85d8b7b"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"231.47Mpa",,,,"2090℃","2英寸",,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d2343e6b1a819a85d8b7d"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"230.06Mpa",,,,"2060℃","2英寸",,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d2348e6b1a819a85d8b7f"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"232.06Mpa",,,,"2150℃","2英寸",,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d234ce6b1a819a85d8b81"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"241.63Mpa",,,,"2150℃","1英寸",,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d2351e6b1a819a85d8b83"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"232.08Mpa",,,,"2140℃","2英寸",,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d2356e6b1a819a85d8b85"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229.34Mpa",,,,"2050℃","2英寸",,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d2365e6b1a819a85d8b89"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"241.38Mpa",,,,"2100℃","1英寸",,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d236ae6b1a819a85d8b8b"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240.93Mpa",,,,"2090℃","1英寸",,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d236ee6b1a819a85d8b8d"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240.73Mpa",,,,"2080℃","1英寸",,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d2378e6b1a819a85d8b91"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"239.60Mpa",,,,"2060℃","1英寸",,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d2395e6b1a819a85d8b9d"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"239.16Mpa",,,,"2050℃","1英寸",,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d239fe6b1a819a85d8ba1"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240.29Mpa",,,,"2070℃","1英寸",,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d23a4e6b1a819a85d8ba3"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"241.57Mpa",,,,"2110℃","1英寸",,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d262ae6b1a819a85d8c97"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"258.3Mpa",,,,,,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,"20%",,"2000℃",
,,,,,"ObjectId(""5b4d262fe6b1a819a85d8c99"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"245.3Mpa",,,,,,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,"30%",,,"2100℃"
,,,,,"ObjectId(""5b4d2634e6b1a819a85d8c9b"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"258.3Mpa",,,,,,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,"42%",,"2000℃",
,,,,,"ObjectId(""5b4d2639e6b1a819a85d8c9d"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"251.9Mpa",,,,,,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,"40%",,"2050℃",
,,,,,"ObjectId(""5b4d2642e6b1a819a85d8ca1"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"264.6Mpa",,,,,,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,"42%",,"2050℃",
,,,,,"ObjectId(""5b4d2647e6b1a819a85d8ca3"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"251.7Mpa",,,,,,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,"33%",,"2050℃",
,,,,,"ObjectId(""5b4d264ce6b1a819a85d8ca5"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"249.3Mpa",,,,,,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,"41%",,"2000℃",
,,,,,"ObjectId(""5b4d2651e6b1a819a85d8ca7"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"251.1Mpa",,,,,,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,"34%",,"2000℃",
,,,,,"ObjectId(""5b4d2656e6b1a819a85d8ca9"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"256.2Mpa",,,,,,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,"30%",,"2100℃",
,,,,,"ObjectId(""5b4d265be6b1a819a85d8cab"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"265.5Mpa",,,,,,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,"43%",,"2000℃",
,,,,,"ObjectId(""5b4d2660e6b1a819a85d8cad"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250.5Mpa",,,,,,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,"41%",,"2010℃",
,,,,,"ObjectId(""5b4d2669e6b1a819a85d8cb1"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"257.7Mpa",,,,,,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,"40%",,,"2100℃"
,,,,,"ObjectId(""5b4d2673e6b1a819a85d8cb3"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"254.1Mpa",,,,,,,,,,,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,"34%",,"2000℃",
,,,,,"ObjectId(""5b4d2678e6b1a819a85d8cb5"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.5h",,,,,,,,,"2100℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d267de6b1a819a85d8cb7"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34h",,,,,,,,,"2000℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d2682e6b1a819a85d8cb9"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74.9h",,,,,,,,,"2150℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d2686e6b1a819a85d8cbb"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"130.5h",,,,,,,,,"2175℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d268be6b1a819a85d8cbd"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48.6h",,,,,,,,,"2100℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d2690e6b1a819a85d8cbf"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41h",,,,,,,,,"2150℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d2695e6b1a819a85d8cc1"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70.5h",,,,,,,,,"2150℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d269ae6b1a819a85d8cc3"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90.2h",,,,,,,,,"2050℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d269fe6b1a819a85d8cc5"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100.2h",,,,,,,,,"2050℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d26a7e6b1a819a85d8cc7"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121.3h",,,,,,,,,"2150℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d26ace6b1a819a85d8cc9"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78.8h",,,,,,,,,"2150℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d26b1e6b1a819a85d8ccb"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121.6h",,,,,,,,,"2150℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d26b5e6b1a819a85d8ccd"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"167h",,,,,,,,,"2175℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d26bbe6b1a819a85d8ccf"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"152.8h",,,,,,,,,"2150℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d26c5e6b1a819a85d8cd1"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.5%",,,,,,,,,"2150℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d26c9e6b1a819a85d8cd3"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.2%",,,,,,,,,"2150℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d26cee6b1a819a85d8cd5"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.2%",,,,,,,,,"2100℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d26d3e6b1a819a85d8cd7"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81.1h",,,,,,,,,"2050℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d26d8e6b1a819a85d8cd9"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.9%",,,,,,,,,"2150℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"ObjectId(""5b4d26dde6b1a819a85d8cdb"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.5%",,,,,,,,,"2050℃",,,,"",,,,,,,,"Carlson D M. P/M AF115 Dual Property Disk Process Development[C]// Superalloys. 1980:501-511.","10.11961/mater0203.MGI.20171221.ds.0045","尹海清","摘录","张凯琦","2018-01-08","16h","760℃",,,,,,,,,,"AF115",,,,,,,,,,,,,,,,"100Mpa","4h","1190℃","150mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
